City,Brand,Model,Year,Type,Color,Displacement,HP,Fuel type,Mielage,Transmission,Drivetrain,New,Price
Sumqayıt,Mercedes,C 200,1999,Sedan,Qara,2.0 L,175 a.g.,Benzin,366 000 km,Avtomat,Arxa,Xeyr,12500 AZN
Bakı,Mercedes,C 180,2014,Sedan,Qara,1.6 L,167 a.g.,Benzin,102 000 km,Avtomat,Arxa,Xeyr,31500 $
Sumqayıt,Mercedes,C 240,2002,Sedan,Qara,2.6 L,177 a.g.,Benzin,469 700 km,Avtomat,Arxa,Xeyr,11700 AZN
Şirvan,Mercedes,C 180,1998,Sedan,Göy,1.8 L,125 a.g.,Benzin,556 680 km,Avtomat,Arxa,Xeyr,9700 AZN
Sumqayıt,Mercedes,C 220,2000,Sedan,Gümüşü,2.2 L,150 a.g.,Dizel,300 000 km,Avtomat,Arxa,Xeyr,12700 AZN
Bakı,Mercedes,C 230,1999,Sedan,Gümüşü,2.3 L,150 a.g.,Benzin,200 000 km,Avtomat,Arxa,Xeyr,11200 AZN
Bakı,Mercedes,C 240,1998,Sedan,Qara,2.4 L,170 a.g.,Benzin,187 000 km,Avtomat,Arxa,Xeyr,13800 AZN
Bakı,Mercedes,C 230,1998,Sedan,Qara,2.3 L,150 a.g.,Qaz,309 200 km,Avtomat,Arxa,Xeyr,11400 AZN
Lənkəran,Mercedes,C 200,1994,Sedan,Gümüşü,2.0 L,111 a.g.,Benzin,426 872 km,Avtomat,Arxa,Xeyr,8500 AZN
Bakı,Mercedes,C 200,1999,Sedan,Qırmızı,2.0 L,136 a.g.,Benzin,240 000 km,Avtomat,Arxa,Xeyr,6800 AZN
Bakı,Mercedes,C 230,2000,Sedan,Gümüşü,2.3 L,150 a.g.,Benzin,234 000 km,Avtomat,Arxa,Xeyr,11300 AZN
Şirvan,Mercedes,C 220,1996,Sedan,Göy,2.2 L,146 a.g.,Benzin,318 000 km,Avtomat,Ön,Xeyr,9300 AZN
Gəncə,Mercedes,C 180,1998,Sedan,Yaş Asfalt,1.8 L,122 a.g.,Benzin,244 680 km,Avtomat,Arxa,Xeyr,12800 AZN
Bakı,Mercedes,C 220,1995,Sedan,Yaşıl,2.2 L,146 a.g.,Benzin,284 567 km,Mexaniki,Arxa,Xeyr,7300 AZN
Bakı,Mercedes,C 240,2000,Sedan,Gümüşü,2.4 L,177 a.g.,Benzin,295 000 km,Avtomat,Arxa,Xeyr,12400 AZN
Gəncə,Mercedes,C 180,1994,Sedan,Qəhvəyi,1.8 L,122 a.g.,Benzin,300 000 km,Mexaniki,Arxa,Xeyr,7350 AZN
Bakı,Mercedes,C 200,1998,Universal,Göy,2.0 L,136 a.g.,Benzin,248 000 km,Avtomat,Arxa,Xeyr,10500 AZN
Bakı,Mercedes,C 230,1999,Sedan,Gümüşü,2.3 L,150 a.g.,Benzin,155 000 km,Avtomat,Arxa,Xeyr,12300 AZN
Qax,Mercedes,C 180,1999,Sedan,Yaşıl,1.8 L,122 a.g.,Benzin,201 000 km,Mexaniki,Arxa,Xeyr,10900 AZN
Bakı,Mercedes,C 220,1999,Universal,Gümüşü,2.2 L,146 a.g.,Dizel,190 000 km,Avtomat,Arxa,Xeyr,14000 AZN
Zaqatala,Mercedes,C 230,1999,Sedan,Qızılı,2.3 L,150 a.g.,Benzin,167 000 km,Avtomat,Arxa,Xeyr,12300 AZN
Bakı,Mercedes,C 220,1998,Sedan,Tünd qırmızı,2.2 L,143 a.g.,Dizel,475 630 km,Avtomat,Arxa,Xeyr,10700 AZN
Bakı,Mercedes,C 320,2000,Sedan,Qara,3.2 L,224 a.g.,Benzin,248 000 km,Avtomat,Arxa,Xeyr,7500 AZN
Bakı,Mercedes,C 180,1994,Sedan,Gümüşü,1.8 L,136 a.g.,Benzin,362 000 km,Avtomat,Arxa,Xeyr,8300 AZN
Bakı,Mercedes,C 220,1995,Sedan,Gümüşü,2.2 L,150 a.g.,Benzin,362 000 km,Mexaniki,Arxa,Xeyr,8600 AZN
Bakı,Mercedes,C 200,2002,Sedan,Yaşıl,2.0 L,150 a.g.,Benzin,291 100 km,Avtomat,Arxa,Xeyr,11200 AZN
Bakı,Mercedes,C 230,1999,Sedan,Ağ,2.3 L,150 a.g.,Benzin,194 000 km,Avtomat,Arxa,Xeyr,12650 AZN
Bakı,Mercedes,C 220,2001,Universal,Gümüşü,2.2 L,143 a.g.,Dizel,268 611 km,Avtomat,Arxa,Xeyr,11800 AZN
Göyçay,Mercedes,C 180,1998,Sedan,Gümüşü,1.8 L,122 a.g.,Benzin,383 000 km,Avtomat,Arxa,Xeyr,12000 AZN
